("Preferences")|("偏好设置")
placeholder:"Search preferences"|placeholder:"搜索设置项"

name:"General",label:"general"|name:"常规设置",label:"general"
name:"Editor",label:"editor"|name:"编辑器",label:"editor"
name:"Spelling",label:"spelling"|name:"拼写检查",label:"spelling"
name:"Theme",label:"theme"|name:"主题",label:"theme"
name:"Image",label:"image"|name:"图片",label:"image"
name:"Key Bindings",label:"keybindings"|name:"热键设置",label:"keybindings"

("General")|("常规设置")
("Editor")|("编辑器")
("Spelling")|("拼写检查")
("Theme")|("主题")
("Image")|("图片")
("Key Bindings")|("热键设置")

("Auto Save:")|("自动保存:")
"Automatically save document changes"|"自动保存文档更改"
"Delay following document edit before automatically saving"|"在自动保存前延迟编辑文件的时间"

("Window:")|("窗口:")
"Title bar style"|"标题栏样式"
"Hide scrollbars"|"隐藏滚动条"
"Open files in new window"|"在新窗口中打开文件"
"Open folders in new window"|"在新窗口中打开文件夹"
"Zoom"|"缩放"
label:"Custom",value:"custom"|label:"自定义",value:"custom"
label:"Native",value:"native"|label:"系统默认",value:"native"
notes:"Requires restart."|notes:"需要重新启动。"

("Sidebar:")|("侧边栏:")
"Wrap text in table of contents"|"在目录中换行"
"Sort field for files in open folders"|"打开文件夹时文件的排序字段"

("Action on startup:")|("启动时的动作:")
("Open the default directory")|("打开默认目录")
("Open a blank page")|("打开一个空白页")
("Select Folder")|("选择文件夹")

("Misc:")|("杂项:")
"User interface language"|"用户界面语言"

("Text editor settings:")|("文本编辑器设置:")
"Font size"|"字体大小"
"Line height"|"行高"
"Font family"|"字体"
"Maximum width of text editor"|"文本编辑器的最大宽度"
notes:"Leave empty for theme default, otherwise use number with unit suffix, which is one of 'ch' for characters, 'px' for pixels, or '%' for percentage."|notes:"默认留空，否则使用带单位后缀的数字，后缀单位可以是'ch'、'px'、'%'。"

("Code block settings:")|("代码块设置:")
"Remove leading and trailing empty lines"|"删除前面和后面的空行"
("Writing behavior:")|("写作行为:")
"Automatically close brackets when writing"|"书写时自动关闭括号"
"Automatically complete markdown syntax"|"自动完成markdown语法"
"Automatically close quotation marks"|"自动关闭引号"

("File representation:")|("文件表示:")
"Preferred tab width"|"首选制表符宽度"
"Line separator type"|"行分隔符类型"
"Default encoding"|"默认字符编码"
label:"Default",value:"default"|label:"默认",value:"default"
label:"Carriage return and line feed (CRLF)",value:"crlf"|label:"回车换行 (CRLF)",value:"crlf"
label:"Line feed (LF)",value:"lf"|label:"换行 (LF)",value:"lf"
"Automatically detect file encoding"|"自动检测文件编码"
"Handling of trailing newline characters"|"处理尾部换行符"
label:"Trim all trailing",value:0|label:"修剪所有尾部",value:0
label:"Ensure exactly one trailing",value:1|label:"确保正好有一个尾部",value:1
label:"Preserve style of original document",value:2|label:"保留原始文件的样式",value:2
label:"Do nothing",value:3|label:"什么都不做",value:3

"Text direction"|"文本方向"
label:"Left to Right",value:"ltr"|label:"从左到右",value:"ltr"
label:"Right to Left",value:"rtl"|label:"从右到左",value:"rtl"
"Hide hint for selecting type of new paragraph"|"隐藏选择新段落类型的提示"
"Hide popup when cursor is over link"|"当光标在链接上时隐藏弹出窗口"
